Water,data//objects//water//water.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Barrel 1,data//objects//Wooden Barrel//barrel.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Barrel 3,data//objects//Wooden Barrel//barrel.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Barrel 2,data//objects//Wooden Barrel//barrel.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Barrel 4,data//objects//Wooden Barrel//barrel.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Barrel 5,data//objects//Wooden Barrel//barrel.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Man (Nanosuit),data//objects//nanosuit//nanosuit.obj,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Viking Ship,data//objects//boat//Row_Boat.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Woman,data//objects//woman//woman.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Boat,data//objects//obj_boat//boat.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Rock,data//objects//rock//rock.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Wall 1,data//objects//wall//wall.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Wall 2,data//objects//wall//wall.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Wall 3,data//objects//wall//wall.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
Wall 4,data//objects//wall//wall.fbx,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,1,0,0,0,1.000000,1
